blockHash,blockNumber,confirmations,cumulativeGasUsed,from,gas,gasPrice,gasUsed,timeStamp,epoch,budget_Ether,budget_USD,Ether_to_USD,txn_Fee_Ether,txn_Fee_USD
0xa708e95feca9dae219a98fbcd12c8a8d11ec66ad5414a6e8dbe10af9c473d0d1,5089120,3807669,4195674,0x0efe626fce1ea17f6acf58f7aa0f7649e6bea245,150000,50000000000,22511,2018-02-14 14:01:29,1518616889,122.94999999999999,108765.87324999999,884.635,0.00112555,0.9957009242499999
0x7e0f25a2361955379a3d78e742fd1ab7cb8fd66b203a6d19b907169da7fdebc4,5089131,3807658,2039462,0x605c8418be0667a74c4f06a26246d0bbb61cb267,53766,35000000000,22511,2018-02-14 14:05:50,1518617150,33.0,29192.954999999998,884.635,0.000787885,0.696990646975
0xf6c10a3e42e7ffb66ac0ba10379d6ac313e6cfccc7f98e1f77a6722682ba01cb,5089134,3807655,7938951,0x9d7f3cbf853e8e704a840424ed3cb335b9ae01ad,33766,3000000000,22511,2018-02-14 14:06:36,1518617196,5.0,4423.175,884.635,6.7533e-05,0.059742055455000005
0x923b0a80efd4980aa04fde05b0ed76c0f0650dcf20782a976bfe581f30d1a6be,5089222,3807567,2413578,0xb4cdc33562148e745c2a7c8809735d23eb0cd3c3,100000,30000000000,22511,2018-02-14 14:27:35,1518618455,83.0,73424.705,884.635,0.00067533,0.59742055455
0x7cd02c5b3047dcf7ed46931cb0d10bcf3627bb8c3d828ad49b2a1796b5514c96,5089315,3807474,1822126,0x23b7bf89200663f958f11c7d495f9dfa793b8ef2,100000,40000000000,22511,2018-02-14 14:48:24,1518619704,22.0,19461.97,884.635,0.00090044,0.7965607393999999
0xca016adacb732cd586f2264acb5ca49fa0f836b083ef7b50db5f1fa9a0d75bdf,5110035,3786754,5772795,0xd3d150e257089e8592551f3a9a2a12ef59324967,50000,25000000000,22511,2018-02-18 02:07:56,1518919676,10.0,9742.6,974.26,0.000562775,0.5482891714999999
0xd068415d97801e0ee2db524edf2ecfbf92353b98ef44bd7fee54d25329c8928e,5113362,3783427,43511,0xea3f9d498c335e27ba7dcff3e2eea93cc6f99bb9,27013,79128354816,22511,2018-02-18 15:26:00,1518967560,264.0,248750.04,942.235,0.001781258395262976,1.6783640040606103
0xa8a12970438c8e509d79770a02ab0811ffbd096f9dc22878188d6afb3c31fa12,5114690,3782099,1489135,0x28d804bf2212e220bc2b7b6252993db8286df07f,250000,60000000000,22511,2018-02-18 20:47:45,1518986865,2180.0,2050257.2999999998,940.4849999999999,0.00135066,1.2702754700999999
0x80c22e1203c1a8ce9247b4b579d79ae22526bfb38a37e6cbc1045604fbe8a119,5115019,3781770,4929809,0x07447ebfacb2ad07ee06d93a20b3c8f46d227082,25000,20000000000,22511,2018-02-18 22:06:59,1518991619,52.0,48028.24,923.62,0.00045022,0.41583219639999996
0x1f7321910b45904964e57e8b5696b6328abc654c11dcd4da31cb660cfdf35642,5120385,3776404,1594245,0x4d5bfee161bdca9ce4cc3653d141f89c9321ae7e,25000,60000000000,22511,2018-02-19 19:55:23,1519070123,5.0,4723.125,944.625,0.00135066,1.2758672025
0xcab6a500c00884fce7daab1f63d57b52288312ef83fce4db68c6ee472bfbb8b9,5121058,3775731,2068102,0xdeb44b42a9d5c331e0e03d3fbe9c7a9496872d05,25000,20000000000,22511,2018-02-19 22:38:27,1519079907,5.047675035,4725.78479801805,936.23,0.00045022,0.4215094706
0xb1bcff5cad4ad04d1a1a57ba8abafc707521bc0adf59986e810c8c78cc079920,5124289,3772500,4291970,0x18b7d73002a05d5fb94c75d499b94096bb519d7c,25000,20000000000,22511,2018-02-20 12:01:51,1519128111,8.0,7521.360000000001,940.1700000000001,0.00045022,0.4232833374
0xa45e220e2b81cd5ffbc8812d57168c1f6ce6e1b43e94372deabea03079610ea0,5126246,3770543,3166443,0xef82e79d660a2b021916a2dd2adde8a411144045,25000,30000000000,22511,2018-02-20 20:06:01,1519157161,5.0,4603.875,920.7750000000001,0.00067533,0.6218269807500001
