blockHash,blockNumber,confirmations,cumulativeGasUsed,from,gas,gasPrice,gasUsed,timeStamp,epoch,budget_Ether,budget_USD,Ether_to_USD,txn_Fee_Ether,txn_Fee_USD
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,82517,0x00256e2660aee0195b554f292f119f214f99e11c,130000,306923076923077,82517,2017-06-24 13:00:03,1498309203,405.0,129361.04999999999,319.40999999999997,25.326371538461544,8089.496333100001
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,202548,0xefe93e888a64b3aa5a2f35e5c8a0c6a12e34b1c3,150000,6700000000000,67517,2017-06-24 13:00:03,1498309203,100.0,31940.999999999996,319.40999999999997,0.4523639,144.489553299
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,270065,0xc200fb39d47df2fcc8f6b7612b37f7a2f22c6f30,1000000,4000000000000,67517,2017-06-24 13:00:03,1498309203,220.0,70270.2,319.40999999999997,0.270068,86.26241987999998
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,337582,0xa43bfe35623a7c87addb4c72cdc8cff38894449a,130000,2000000000000,67517,2017-06-24 13:00:03,1498309203,25.5,8144.954999999999,319.40999999999997,0.135034,43.13120993999999
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,405099,0x8182f1032d8e921ac9e5a378228aff3ff4514550,130000,1500000000000,67517,2017-06-24 13:00:03,1498309203,25.0,7985.249999999999,319.40999999999997,0.1012755,32.348407455
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,472616,0x00b01283ca5fa28d65e4240af366105b166bbb32,250000,1299311252710,67517,2017-06-24 13:00:03,1498309203,42.0,13415.22,319.40999999999997,0.08772559784922107,28.0204332090197
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,540133,0x346d67384166a3c1fc06afd2b7599a1a696dfbcb,200000,1050000000000,67517,2017-06-24 13:00:03,1498309203,60.0,19164.6,319.40999999999997,0.07089285,22.643885218499996
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,607650,0x1dcff98f1ece4a7dec3bb8aa8a8895b7dfd03d54,150000,1000000000000,67517,2017-06-24 13:00:03,1498309203,30.0,9582.3,319.40999999999997,0.067517,21.565604969999995
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,675167,0xafd6a338fe5f53535b693459532a24362dcf60c3,500000,541000000000,67517,2017-06-24 13:00:03,1498309203,163.295,52158.05594999999,319.40999999999997,0.036526697,11.666992288769999
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,742684,0xf19ae43bc3494ea09f1042f4b6e84a7c1c20466f,130000,500000000000,67517,2017-06-24 13:00:03,1498309203,11.3,3609.333,319.40999999999997,0.0337585,10.782802484999998
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,810201,0x00e6a95f6f438cbe873d0465e1a2533052e155f0,500000,500000000000,67517,2017-06-24 13:00:03,1498309203,88.0,28108.079999999998,319.40999999999997,0.0337585,10.782802484999998
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,877718,0x00e1c68d499d51fbdfdf80c95e655de48bbd0680,150000,421311252711,67517,2017-06-24 13:00:03,1498309203,11.70495917409335,3738.6810097971565,319.40999999999997,0.028445671849288586,9.085832045381267
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,945235,0x9af5e770aace008904d089bfbd3a8970c6670197,130000,268435456000,67517,2017-06-24 13:00:03,1498309203,4.0,1277.6399999999999,319.40999999999997,0.018123956682752,5.788973004037816
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1012752,0x0058d59c6294e550dc65a200ec579fe35c05ac1f,130000,250000000000,67517,2017-06-24 13:00:03,1498309203,115.0,36732.149999999994,319.40999999999997,0.01687925,5.391401242499999
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1081246,0xd5be984e7dfd99bcfb151badb54cdf0a30b154a9,95000,200000000000,68494,2017-06-24 13:00:03,1498309203,10.2,3257.9819999999995,319.40999999999997,0.0136988,4.375533708
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1148763,0x781000560533e8e480bc3c00f29da7517be5205a,130000,200000000000,67517,2017-06-24 13:00:03,1498309203,1250.0,399262.49999999994,319.40999999999997,0.0135034,4.313120994
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1217257,0xfde25ff392dc38e8b53faf7c8f5b00dbda1ac50d,95000,200000000000,68494,2017-06-24 13:00:03,1498309203,0.9,287.469,319.40999999999997,0.0136988,4.375533708
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1284774,0x00abd21acf1145d209601f663cfc2a865f3b15f3,150000,199502607010,67517,2017-06-24 13:00:03,1498309203,5.0,1597.0499999999997,319.40999999999997,0.01346981751749417,4.302394413262812
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1353268,0x114ee4ee7e6c4bf88c112a1cd1590c82e71ab298,95000,125000000000,68494,2017-06-24 13:00:03,1498309203,100.0,31940.999999999996,319.40999999999997,0.00856175,2.7347085675
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1420785,0x00f31589e00353cbdc8f03241ae7909b26729563,130000,120311252711,67517,2017-06-24 13:00:03,1498309203,30.0,9582.3,319.40999999999997,0.008123054849288587,2.594584949411267
